id,module,priority,platform,window,state,title,steps,expected,required_evidence,status,blocker_or_notes,source_commit,artifact_sha256,device_os_webview,actual_evidence,tested_at
BASE-01,M0,P0,全部,全部,准备,最新手机发布基线,读取 Play/CN 当前版本及源码；核对所有待合并功能祖先,候选包含真实线上源码；未覆盖其他工作；版本策略明确,基线/身份记录；必要设备截图,NOT_RUN,,,,,,
BASE-02,M0,P0,全部,全部,准备,设备和账号条件,核对现有平板/手机、电源、可操作通道、各平台绑定、区域和额度,复用已授权设备和账号；缺条件逐项登记,基线/身份记录；必要设备截图,NOT_RUN,,,,,,
BASE-03,M0,P0,全部,全部,准备,测试隔离,审核 setup/teardown、applicationId、存储和凭据范围；验证正式应用容器不受影响,测试不登出、不删除真实账号/Cookie/书库；签名冲突不靠卸载解决,基线/身份记录；必要设备截图,NOT_RUN,,,,,,
BASE-04,M0,P0,全部,全部,准备,源码与共享 JS 锁定,保存应用/配置/依赖 commit 与 hash；审核生成 bundle 差异,不使用脏 sibling checkout；实际包与验收源码可追溯,基线/身份记录；必要设备截图,NOT_RUN,,,,,,
OWN-01,M1,P0,共享基础,两个宿主原型,合同/原型,会话身份与代次合同,构造 A/B 文档与窗口、账号切换和过期异步回调,只匹配当前 session/account/generation 的结果可生效,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
OWN-02,M1,P0,共享基础,两个宿主原型,合同/原型,唯一播放租约,两个宿主原型分别浏览、显式播放、试听借用和恢复,浏览不抢音频；主播放唯一；preview 恢复不越过新所有者,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
OWN-03,M1,P0,共享基础,两个宿主原型,合同/原型,旧 close/stopper 不影响新会话,交接后触发旧 VM close/onCleared/stopper/timer 回调,compare-owner 后再清理；新队列/新文档不受影响,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
OWN-04,M1,P0,共享基础,两个宿主原型,合同/原型,文档文件引用隔离,并发导入、替换单个 session、关闭窗口后清理 owned 文件,保留单次原子快照语义；只清无人持有的自有副本,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
OWN-05,M1,P0,共享基础,两个宿主原型,合同/原型,重排事务与严格锚点,布局 epoch 变化；模拟旧 OCR/DOM、稀疏 ID、重复文本和不同范围编码,过期几何丢弃；source/geometry 分离；歧义不猜；ID 不作数组下标,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
OWN-06,M1,P0,共享基础,两个宿主原型,合同/原型,最小持久书签,配置重建与进程恢复；旧账号书签；失效文档版本,小状态/ID 与持久正文分离；账号隔离；恢复默认暂停,确定性合同结果；两宿主真实交接记录；source hash,NOT_RUN,,,,,,
